Course ID,Type,Identifier,Topic Name,Topic Link,Entity Type
40355,Slide,4,Layer Cake,http://dbpedia.org/resource/Layer_cake,WORK_OF_ART
40355,Slide,4,FOAF,http://dbpedia.org/resource/FOAF_(ontology),ORG
40355,Slide,4,Deep Learning,http://dbpedia.org/resource/Deep_learning,PERSON
40355,Slide,4,Apple Siri,http://dbpedia.org/resource/Siri,PERSON
40355,Slide,4,Amazon Alexa,http://dbpedia.org/resource/Amazon_Alexa,ORG
40355,Slide,4,Microsoft Tay,http://dbpedia.org/resource/Tay_(bot),PERSON
40355,Slide,4,Microsoft,http://dbpedia.org/resource/Microsoft,ORG
40355,Slide,4,Gartner,http://dbpedia.org/resource/Gartner,ORG
40355,Slide,4,Perceptron,http://dbpedia.org/resource/Perceptron,ORG
40355,Slide,4,Keras,http://dbpedia.org/resource/Keras,ORG
40355,Slide,4,Word Vectors,http://dbpedia.org/resource/Word_embedding,ORG
40355,Slide,4,Japan,http://dbpedia.org/resource/Japan,GPE
40355,Slide,4,Sushi,http://dbpedia.org/resource/Sushi,GPE
40355,Slide,4,Germany,http://dbpedia.org/resource/Germany,GPE
40355,Slide,4,XOR,http://dbpedia.org/resource/Exclusive_or,ORG
40355,Slide,4,MIT Press,http://dbpedia.org/resource/MIT_Press,ORG
40355,Slide,4,numpy,http://dbpedia.org/resource/NumPy,NORP
40355,Slide,4,Louis Pasteur,http://dbpedia.org/resource/Louis_Pasteur,PERSON
40355,Slide,4,Google,http://dbpedia.org/resource/Google,ORG
40355,Slide,4,Google News,http://dbpedia.org/resource/Google_News,ORG
40355,Slide,4,Harry Potter,http://dbpedia.org/resource/Harry_Potter,PERSON
40355,Slide,4,skip-gram,http://dbpedia.org/resource/N-gram,QUANTITY
40355,Slide,4,Monet,http://dbpedia.org/resource/Claude_Monet,ORG
40355,Slide,4,Berlin,http://dbpedia.org/resource/Berlin,GPE
40355,Slide,4,Pros & Cons,http://dbpedia.org/resource/Pros_&_Cons,ORG
40355,Slide,4,New York,http://dbpedia.org/resource/New_York_City,GPE
40355,Slide,4,PCA,http://dbpedia.org/resource/Principal_component_analysis,ORG
40355,Slide,4,Cole Howard,http://dbpedia.org/resource/Cole_Howard,PERSON
40355,Slide,4,CNN,http://dbpedia.org/resource/Convolutional_neural_network,ORG
40355,Slide,4,DL,http://dbpedia.org/resource/X86,ORG
40355,Slide,4,kernel,http://dbpedia.org/resource/Kernel_method,PERSON
40355,Slide,4,Overfitting,http://dbpedia.org/resource/Overfitting,ORG
40355,Slide,4,IMDB,http://dbpedia.org/resource/IMDb,ORG
40355,Slide,4,Jeremy Brett,http://dbpedia.org/resource/Jeremy_Brett,PERSON
40355,Slide,4,David Foster,http://dbpedia.org/resource/David_Foster,PERSON
40355,Slide,4,Lennon,http://dbpedia.org/resource/John_Lennon,ORG
40355,Slide,4,GraphIQ,http://dbpedia.org/resource/Graphiq,ORG
40355,Slide,4,Wikipedia,http://dbpedia.org/resource/Wikipedia,ORG
40355,Slide,4,WWW,http://dbpedia.org/resource/World_Wide_Web,ORG
